textID,text,selected_text,sentiment,label
cb774db0d1," i`d have responded, if i were going ","I`d have responded, if I were going",neutral,1
549e992a42, sooo sad i will miss you here in san diego!!! ,Sooo SAD,negative,0
088c60f138,my boss is bullying me... ,bullying me,negative,0
9642c003ef, what interview! leave me alone ,leave me alone,negative,0
358bd9e861," sons of ****, why couldn`t they put them on the releases we already bought ","Sons of ****,",negative,0
28b57f3990,http://www.dothebouncy.com/smf  - some shameless plugging for the best rangers forum on earth ,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,1
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos ,fun,positive,2
50e14c0bb8,soooo high ,Soooo high,neutral,1
e050245fbd, both of you ,Both of you,neutral,1
fc2cbefa9d, journey!? wow... you just became cooler.  hehe... (is that possible!?) ,Wow... u just became cooler.,positive,2
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =p i`m never going to get my cake and stuff ","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,1
16fab9f95b,i really really like the song love story by taylor swift ,like,positive,2
74a76f6e0a,my sharpie is running dangerously low on ink ,DANGERously,negative,0
04dd1d2e34,i want to go to music tonight but i lost my voice. ,lost,negative,0
bbe3cbf620,test test from the la end2 ,test test from the LG enV2,neutral,1
8a939bfb59,"uh oh, i am sunburned ","Uh oh, I am sunburned",negative,0
3440297f8b," s`ok, trying to plot alternatives as we speak *sigh* ",*sigh*,negative,0
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks weird.  if i did not have a hat on it would look...  http://tinyurl.com/mnf4kw ",sick,negative,0
af3fed7fc3,is back home now      going to miss every one ,onna,negative,0
40e7becabf,hes just not that into you ,Hes just not that into you,neutral,1
04d17ef61e," oh marly, i`m so sorry!!  i hope you find her soon!! <3 <3 ","oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,1
e48b0b8a23,playing ghost online is really interesting. the new updates are karin pet and metamorphic for third job.  can`t wait to have a dragon pet ,interesting.,positive,2
7de057cf40,is cleaning the house for her family who is coming later today.. ,is cleaning the house for her family who is comming later today..,neutral,1
9ce5570064,got to restart my computer .. i thought win7 was supposed to put an end to the constant  ,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,1
0c8cc71c46,see wat i mean about full0w fridays... it`s called lose f0flowers friday... shake my head ,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,1
e00c6ef376,"the free filling` application on my ipod is fun, i am addicted ","the free fillin` app on my ipod is fun, im addicted",positive,2
852edc3769,  i`m sorry. ,I`m sorry.,negative,0
bdc32ea43c,on the way to malaysia...no internet access to twit ,.no internet,negative,0
6ce4a4954b,just came back from berkeley ; oh my god its made fun out there  have not been out there in a minute .  ? ,fun,positive,2
d22e6d40a7,went to sleep and there is a power cut in noid  power back up not working too ,Power back up not working too,negative,0
d33f811375,i`m going home now. have you seen my new twitter design? quite....heavenly isn`****? ,Quite....heavenly,positive,2
7d8c4c11e4,i hope unni will make the audition . fighting day unni ! ,hope,positive,2
1c31703aef, if it is any consolation i got my mi tested hahaha it says i am obeyed  well so much for being unhappy for about 10 minutes. ,well so much for being unhappy for about 10 minute,negative,0
2dc51711bc, that`s very funny.  cute kids. ,funny.,positive,2
d21ab5855b," ahah, i slept through the game.  i`m going to try my best to watch tomorrow though. i hope we play army. ","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,1
4f5267ad70,"that is it, its the end. tears for fears is eric pride, do hero    http://bit.ly/2hpbg4 ","Thats it, its the end. Tears for Fears",neutral,1
2724775d6b,born and raised in new york city and living in texas for the past 10 years!  i still miss ny ,miss,negative,0
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned ","just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,1
4b61dffbeb,i`m soooo !!! the last day o` school was today....sniffle.... ,soooooo sleeeeepy!!!,negative,0
2863f435bd,"a little happy for the wine jefe ok it`so my free time so who cares, raja i love this day ",A little happy fo,positive,2
d93afa85cf," car not happy, big big dent in boot! hoping they are not going to write it off, crossing fingers and waiting ","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,1
fab6b7d16c,i am an avid fan of **** magazine and i love your magazines ,avid fan of,positive,2
2e7082d1c8,mayday?! ,MAYDAY?!,neutral,1
684081e4e7,"rate rocked nashville tonite..one thing sucked, no encore!  like in the 80`s they still have a fun show. pearly has that hot bad boy look ","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,1
c77717b103, i love to! but i`m only available from 5am.  and where dear? would love to help  convert her vids.i¿½ ,I love to!,positive,2
a9d499e123,the girl in the hair salon asked me shall i trim your eyebrows!' how old do i feel? ,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,1
ddf296dffa,egg blah and  i do not know want to go to work  hangovers  i am a drunk mess! ,SUCKKKKKK,negative,0
c3924dc9e4,:visiting my friendlier and facebook ,:visiting my friendster and facebook,neutral,1
3d9d4b0b55,"i don't like to peel prawns, i also do not like going shopping, running out of money and crawling round the car looking for more ",dont like go,negative,0
